Dataset,Type,nTEterminals,nTEcharacters,nMOLterminals,nMolCharacters,nMorphCharacters,nInvariantCharacters,%MOL/Total,%Morph/Total,nUniqueMorphTerminals,MP_MOL_Score,MP_MOL_nClades,MP_MOL_MeanBS,MP_TE_Score,MP_TE_nClades,MP_TE_MeanBS,MP_MOL/TE_Score,MP_MORPH/TE_Score,nPolytomiesMOL,nPolytomiesTE,nUniqueCladesMOL,nUniqueCladesTE,MOLvsTE_nSharedClades,MOLvsTE_NormalizedRF,MOLvsTE_NormalizedMeanSPR,MOLvsTE_NormalizedMinSPR,MOLvsTE_NormalizedCID,MOLvsTE_ACID,ML_MOL_Score,ML_MOL_MeanBS,ML_MOL_nClades,ML_TE_noASC_Score,ML_TE_noASC_MeanBS,ML_TE_noASC_nClades,ML_MOL/TEnoASC_Score,ML_MORPH/TEnoASC_Score,ML_TE_ASC_Score,ML_TE_ASC_MeanBS,ML_TE_ASC_nClades,ML_MOL/TEASC_Score,ML_MORPH/TeASC_Score,nPolytomiesMOL,nPolytomiesTEnoASC,nPolytomiesTEASC,MOLvsTEASC_nUniqueCladesMOL,MOLvsTEASC_nUniqueCladesTEASC,MOLvsTEASC_nSharedClades,MOLvsTEASC_NormalizedRF,MOLvsTEASC_NormalizedMeanSPR,MOLvsTEASC_NormalizedMinSPR,MOLvsTEASC_NormalizedCID,MOLvsTEASC_ACID,MOLvsTEnoASC_nUniqueCladesMOL,MOLvsTEnoASC_nUniqueCladesTEnoASC,MOLvsTEnoASC_nSharedClades,MOLvsTEnoASC_NormalizedRF,MOLvsTEnoASC_NormalizedMeanSPR,MOLvsTEnoASC_NormalizedMinSPR,MOLvsTEnoASC_NormalizedCID,MOLvsTENOASC_ACID
035_PerezPol,Extant,11,4110,11,4014,96,1,0.976642336,0.023357664,0,2846,10,82.9,3042,10,82.2,0.935568705,0.064431295,0,0,1,1,9,0.125,0.1428571,0.1428571,0.156351263,0.13929,-16932.3541,94.8,9,-17863.8116,92.4,9,0.947857852,0.052142148,-17854.3658,92,9,0.948359314,0.051640686,1,1,1,1,1,8,0.125,0.1428571,0.1428571,0.096408663,0.08555,1,1,8,0.125,0.1428571,0.1428571,0.096408663,0.08555
036_Teta,Extant,24,4540,24,4441,99,0,0.978193833,0.021806167,0,2793,22,61.2,3112,22,73.8,0.897493573,0.102506427,1,1,2,2,20,0.1,0.1044125,0.1044125,0.070869617,0.04932,-18914.9892,83.1,22,-20485.5765,87.1,22,0.923332043,0.076667957,-20483.536,87.1,22,0.923424022,0.076575978,1,1,1,2,2,20,0.095238095,0.05220626,0.05220626,0.067143693,0.07357,2,2,20,0.095238095,0.05220626,0.05220626,0.067143693,0.05053
037_Chen,Extant,12,2353435,12,2353318,117,8,0.999950285,4.97146E-05,0,553973,11,98,554189,11,97.6,0.999610241,0.000389759,0,0,0,0,11,0,0,0,0,0,-5911548.736,96.6,10,-5912495.656,96.3,10,0.999839844,0.000160156,-5912460.814,96.3,10,0.999845736,0.000154264,1,1,1,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0
038_Santos,Extant,62,2565,62,2451,114,2,0.955555556,0.044444444,0,7891,61,49.7,8306,61,52.6,0.950036118,0.049963882,0,1,19,18,42,0.316239316,0.143815,0.143815,0.204199166,0.10381,-34840.9964,88.5,60,-37242.1923,88.8,60,0.935524851,0.064475149,-37227.9089,87.8,60,0.935883788,0.064116212,1,1,1,21,21,39,0.355932203,0.2157225,0.2157225,0.178562501,0.09222,21,21,39,0.355932203,0.2157225,0.2157225,0.178562501,0.09222
039_Kuntner,Extant,43,4428,43,4197,231,9,0.947831978,0.052168022,0,11701,42,50.2,13009,42,52.6,0.899454224,0.100545776,0,2,24,22,18,0.58974359,0.3217293,0.3217293,0.317857086,0.19466,-53732.8991,87.5,41,-59959.9082,89.8,41,0.896147121,0.103852879,-59898.8396,90.6,41,0.897060769,0.102939231,1,1,1,22,22,19,0.55,0.3217293,0.3217293,0.271566606,0.168,22,22,19,0.55,0.3217293,0.3217293,0.271566606,0.168
040_Giles,Extant,10,10939,10,10674,265,73,0.975774751,0.024225249,0,10305,9,100,10578,9,100,0.974191719,0.025808281,0,0,0,0,9,0,0,0,0,0,-51589.3178,95,8,-53065.0358,95.7,8,0.972190389,0.027809611,-52868.3078,96,8,0.975808002,0.024191998,1,1,1,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0
041_Ksepka,Extant,59,5143,59,5023,120,0,0.976667315,0.023332685,0,12666,43,52.2,13077,43,59.7,0.968570773,0.031429227,6,6,4,8,39,0.139534884,0.07586522,0.0189663,0.11693129,0.04571,-59757.2924,89.2,57,-61892.5306,90,57,0.965500874,0.034499126,-61888.9967,90.1,57,0.965556005,0.034443995,1,1,1,10,10,47,0.178571429,0.09483152,0.09483152,0.092176503,0.05,10,10,47,0.178571429,0.09483152,0.09483152,0.092176503,0.05
042_Manos,Extant,35,2070,35,2006,64,0,0.969082126,0.030917874,0,658,30,70.1,811,30,71,0.81134402,0.18865598,1,3,4,3,26,0.127272727,0.1687609,0.1012565,0.110025825,0.06557,-12227.8727,82.9,33,-13173.768,82.1,33,0.928198576,0.071801424,-13169.0741,82.5,33,0.928529417,0.071470583,1,1,1,5,5,28,0.15625,0.1350087,0.1350087,0.09672354,0.06511,5,5,28,0.15625,0.1350087,0.1350087,0.09672354,0.06511
043_Swenson,Extant,112,1082,112,926,156,2,0.855822551,0.144177449,0,1121,65,37.5,1894,65,44.8,0.59186906,0.40813094,20,14,14,25,51,0.284671533,0.2397945,0.172652,0.243446839,0.0565,-7654.2222,84.3,110,-12625.2806,86.2,110,0.606261551,0.393738449,-12609.2784,85.6,110,0.607030946,0.392969054,1,1,1,48,48,62,0.440366972,0.2397945,0.2397945,0.291421636,0.11882,48,48,62,0.440366972,0.2397945,0.2397945,0.284880395,0.11588
044_Cialdella,Extant,40,4254,40,4240,14,0,0.99670898,0.00329102,0,768,24,48,842,24,40.4,0.912114014,0.087885986,7,5,1,5,23,0.125,0.1743284,0.02905474,0.110178809,0.0516,-10800.2781,85.9,39,-11154.3101,86.8,39,0.96826052,0.03173948,-11154.2845,87,39,0.968262742,0.031737258,1,1,1,4,4,35,0.105263158,0.08479966,0.08479966,0.070211391,0.05085,4,4,35,0.105263158,0.08479966,0.08479966,0.070211391,0.05085
