Dataset,nTEterminals,nTEcharacters,nMOLterminals,nMolCharacters,nMorphTerminals,nMorphCharacters,nInvariantCharacters,%MOL/Total,%Morph/Total,MP_MOL_Score,MP_MOL_nClades,MP_MOL_TimeScore,MP_MOL_MeanBS,MP_MOL_TimeBS,MP_TE_Score,MP_TE_nClades,MP_TE_TimeScore,MP_TE_MeanBS,MP_TE_TimeBS,MP_MOL/TE_Score,MP_MORPH/TE_Score,MP_nPolytomiesMOL,MP_nPolytomiesTE,MP_nUniqueCladesMOL,MP_nUniqueCladesTE,MP_MOLvsTE_nSharedClades,MP_MOLvsTE_NormalizedRF,MP_MOLvsTE_NormalizedSPR,MP_MOLvsTE_NormalizedCID,ML_MOL_Score,ML_MOL_MeanBS,ML_MOL_nClades,ML_MOL_TimeBS,ML_TE_noASC_Score,ML_TE_noASC_MeanBS,ML_TE_noASC_nClades,ML_TE_noASC_TimeBS,ML_MOL/TEnoASC_Score,ML_MORPH/TEnoASC_Score,ML_TE_ASC_Score,ML_TE_ASC_MeanBS,ML_TE_ASC_nClades,ML_TE_ASC_TimeBS,ML_MOL/TEASC_Score,ML_MORPH/TeASC_Score,ML_nPolytomiesMOL,ML_nPolytomiesTEnoASC,ML_nPolytomiesTEASC,ML_MOLvsTEASC_nUniqueCladesMOL,ML_MOLvsTEASC_nUniqueCladesTEASC,ML_MOLvsTEASC_nSharedClades,ML_MOLvsTEASC_NormalizedRF,ML_MOLvsTEASC_NormalizedSPR,ML_MOLvsTEASC_NormalizedCID,ML_MOLvsTEnoASC_nUniqueCladesMOL,ML_MOLvsTEnoASC_nUniqueCladesTEnoASC,ML_MOLvsTEnoASC_nSharedClades,ML_MOLvsTEnoASC_NormalizedRF,ML_MOLvsTEnoASC_NormalizedSPR,ML_MOLvsTEnoASC_NormalizedCID
035_PerezPol,11,4110,11,4014,10,96,1,0.976642336,0.023357664,2846,10,4,82.9,15,3042,10,5,82.2,16,0.935568705,0.064431295,0,0,1,1,9,0.125,0.1428571,0.156351263,-16932.3541,94.6,9,9855,-17863.8116,92.5,9,11583,0.947857852,0.052142148,-17854.3658,92.4,9,11627,0.948359314,0.051640686,1,1,1,1,1,8,0.125,0.1428571,0.096408663,1,1,8,0.125,0.1428571,0.096408663
036_Teta,24,4540,24,4441,24,99,0,0.978193833,0.021806167,2793,22,11,61.2,100,3112,22,12,73.8,95,0.897493573,0.102506427,1,1,2,2,20,0.1,0.1044125,0.070869617,-18914.9892,75.7,22,19104,-20485.5765,82.4,22,23964,0.923332043,0.076667957,-20483.536,82.5,22,23967,0.923424022,0.076575978,1,1,1,2,2,20,0.095238095,0.05220626,0.067143693,2,2,20,0.095238095,0.05220626,0.067143693
037_Chen,12,2353435,12,2353318,12,117,8,0.999950285,4.97E-05,553973,11,1129,98,4384,554189,11,1148,97.6,4461,0.999610241,0.000389759,0,0,0,0,11,0,0,0,-5911548.736,96.3,10,1619139,-5912495.656,96.3,10,1163748,0.999839844,0.000160156,-5912460.814,96.4,10,1165805,0.999845736,0.000154264,1,1,1,0,0,10,0,0,0,0,0,10,0,0,0
038_Santos,62,2565,62,2451,62,114,2,0.955555556,0.044444444,7891,61,1557,49.7,3988,8306,61,148,52.6,3586,0.950036118,0.049963882,0,1,19,18,42,0.316239316,0.143815,0.204199166,-34840.9964,70.2,60,93190,-37242.1923,72.1,60,129504,0.935524851,0.064475149,-37227.9089,71.9,60,125798,0.935883788,0.064116212,1,1,1,21,21,39,0.355932203,0.2157225,0.178562501,21,21,39,0.355932203,0.2157225,0.178562501
039_Kuntner,43,4428,43,4197,43,231,9,0.947831978,0.052168022,11701,42,137,50.2,2095,13009,42,146,52.6,2776,0.899454224,0.100545776,0,2,24,22,18,0.58974359,0.3217293,0.317857086,-53732.8991,76.1,41,45857,-59959.9082,76.9,41,136950,0.896147121,0.103852879,-59898.8396,76.4,41,138456,0.897060769,0.102939231,1,1,1,22,22,19,0.55,0.3217293,0.271566606,22,22,19,0.55,0.3217293,0.271566606
040_Giles,10,10939,10,10674,10,265,73,0.975774751,0.024225249,10305,9,14,100,47,10578,9,14,100,47,0.974191719,0.025808281,0,0,0,0,9,0,0,0,-51589.3178,95,8,891,-53065.0358,95.7,8,17333,0.972190389,0.027809611,-52868.3078,96,8,18342,0.975808002,0.024191998,1,1,1,0,0,8,0,0,0,0,0,8,0,0,0
041_Ksepka,59,5143,59,5023,59,120,0,0.976667315,0.023332685,12666,43,239,52.2,4607,13077,43,231,59.7,4027,0.968570773,0.031429227,6,6,4,8,39,0.139534884,0.07586522,0.11693129,-59757.2924,74.7,57,78870,-61892.5306,78.5,57,195824,0.965500874,0.034499126,-61888.9967,78.6,57,108639,0.965556005,0.034443995,1,1,1,10,10,47,0.178571429,0.09483152,0.092176503,10,10,47,0.178571429,0.09483152,0.092176503
042_Manos,35,2070,35,2006,35,64,0,0.969082126,0.030917874,658,30,5,70.1,50,811,30,6,71,57,0.81134402,0.18865598,1,3,4,3,26,0.127272727,0.1687609,0.110025825,-12227.8727,82.9,33,96778,-13173.768,82.1,33,179167,0.928198576,0.071801424,-13169.0741,82.5,33,91756,0.928529417,0.071470583,1,1,1,5,5,28,0.15625,0.1350087,0.09672354,5,5,28,0.15625,0.1350087,0.09672354
043_Swenson,112,1082,112,926,112,156,2,0.855822551,0.144177449,1121,65,24,37.5,525,1894,65,51,44.8,1403,0.59186906,0.40813094,20,14,14,25,51,0.284671533,0.2397945,0.243446839,-7654.2222,62.3,110,53527,-12625.2806,63.5,110,218950,0.606261551,0.393738449,-12609.2784,63.5,110,228874,0.607030946,0.392969054,1,1,1,48,48,62,0.440366972,0.2397945,0.291421636,48,48,62,0.440366972,0.2397945,0.284880395
044_Cialdella,40,4254,40,4240,40,14,0,0.99670898,0.00329102,768,24,4,48,73,842,24,6,40.4,94,0.912114014,0.087885986,7,5,1,5,23,0.125,0.1743284,0.110178809,-10800.2781,74.8,39,30009,-11154.3101,78.7,39,28290,0.96826052,0.03173948,-11154.2845,78.4,39,43872,0.968262742,0.031737258,1,1,1,4,4,35,0.105263158,0.08479966,0.070211391,4,4,35,0.105263158,0.08479966,0.070211391
